variable,odds_ratio,ci_low,ci_high,p
const,4.67145281587676,2.803548292909778,7.7838756928683255,3.274810644882109e-09
renter_flag,0.4108631341638534,0.2682982576310238,0.6291823007180981,4.2971616710074656e-05
mfr_flag,0.8006226056717468,0.5177424013384272,1.2380607712552867,0.31740299138022543
income_ord,1.1834671423802414,1.091073297199395,1.2836850472729462,4.873874331456918e-05
attachment_factor,1.4646996745288337,1.2363346117872116,1.7352463613904805,1.0189015145378733e-05
employed,1.5187295043753246,0.8039669447970417,2.868947936711995,0.1978781760080155
age_years,0.9728372156817924,0.9526408953924246,0.9934617050275208,0.01008743890047925
household_size,0.9361012488968112,0.8155096171369113,1.0745250942136408,0.34802218325643963
damage_ord,0.9658225289823065,0.784626587653982,1.188862539413648,0.7428795533785109
